               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.016533,           0.0039985,            0.002386,             0.96591,              0.9583,             0.94934,             0.87369,            0.013021,           0.0036383,            0.009629,             0.00604,             0.00604,             0.00604
                 122,            0.015976,           0.0039016,           0.0023591,             0.96491,             0.95664,             0.95439,             0.87774,            0.013082,           0.0034967,           0.0097162,            0.006007,            0.006007,            0.006007
                 123,            0.016156,           0.0039559,            0.002413,             0.96502,             0.95794,             0.95669,              0.8808,            0.013294,           0.0035671,           0.0098338,            0.005974,            0.005974,            0.005974
                 124,            0.016676,           0.0040404,           0.0022497,             0.96506,             0.95949,             0.95653,             0.87615,            0.013129,           0.0036894,           0.0096179,            0.005941,            0.005941,            0.005941
                 125,            0.016453,           0.0037094,           0.0023281,             0.96493,             0.95885,             0.95274,              0.8747,            0.013462,            0.003744,           0.0097667,            0.005908,            0.005908,            0.005908
                 126,             0.01523,           0.0038417,           0.0023368,             0.96503,             0.95873,              0.9521,             0.87317,            0.012702,           0.0036019,           0.0095618,            0.005875,            0.005875,            0.005875
                 127,            0.016027,           0.0038715,           0.0024012,             0.96535,             0.95824,             0.95296,              0.8745,            0.012963,           0.0035359,           0.0095384,            0.005842,            0.005842,            0.005842
                 128,            0.016175,           0.0038361,           0.0025034,             0.96578,             0.96009,             0.95653,             0.87841,             0.01298,           0.0034451,           0.0096019,            0.005809,            0.005809,            0.005809
                 129,            0.015644,           0.0037733,            0.002492,             0.96535,             0.95964,             0.95342,             0.86838,            0.012749,           0.0033793,           0.0094914,            0.005776,            0.005776,            0.005776
                 130,             0.01582,           0.0037627,           0.0024831,             0.96117,              0.9589,             0.95662,             0.87902,            0.013045,           0.0036124,           0.0095105,            0.005743,            0.005743,            0.005743
                 131,            0.015672,           0.0037793,           0.0023223,             0.96132,             0.95927,             0.96064,             0.87966,            0.013107,            0.003602,           0.0097387,             0.00571,             0.00571,             0.00571
                 132,            0.015434,           0.0037769,           0.0023583,             0.96495,             0.95933,             0.96033,             0.88361,            0.012842,           0.0035618,            0.009732,            0.005677,            0.005677,            0.005677
                 133,            0.015973,           0.0038704,           0.0024297,             0.96502,             0.95591,             0.95519,             0.87502,            0.013435,           0.0035265,           0.0096038,            0.005644,            0.005644,            0.005644
                 134,            0.015406,           0.0037156,            0.002242,             0.96542,             0.95618,             0.95433,             0.87305,            0.012714,           0.0034044,           0.0098437,            0.005611,            0.005611,            0.005611
                 135,            0.016248,            0.003764,           0.0024884,             0.96429,             0.95664,             0.95259,              0.8689,            0.012747,           0.0036412,           0.0098614,            0.005578,            0.005578,            0.005578
                 136,            0.015814,           0.0037944,           0.0023488,             0.96513,             0.95599,             0.95673,              0.8745,            0.013056,           0.0034511,           0.0098132,            0.005545,            0.005545,            0.005545
                 137,            0.015763,            0.003803,           0.0023844,             0.96436,             0.95575,             0.95391,             0.88308,            0.012187,           0.0036802,           0.0099621,            0.005512,            0.005512,            0.005512
                 138,            0.015441,           0.0036087,           0.0022921,             0.96201,             0.95593,             0.95228,             0.87508,            0.012518,           0.0036828,           0.0097489,            0.005479,            0.005479,            0.005479
                 139,             0.01512,           0.0036386,           0.0025136,             0.96202,             0.95975,             0.95541,             0.87209,            0.012367,           0.0034554,           0.0096178,            0.005446,            0.005446,            0.005446
                 140,            0.016011,           0.0038765,           0.0021864,             0.96123,             0.95977,             0.95707,              0.8832,            0.012563,           0.0035476,           0.0097956,            0.005413,            0.005413,            0.005413
                 141,             0.01499,           0.0037066,           0.0021308,             0.96168,             0.95833,             0.95288,             0.87055,            0.012553,           0.0036194,           0.0096745,             0.00538,             0.00538,             0.00538
                 142,            0.014588,           0.0036344,            0.002184,             0.96281,             0.95213,             0.95582,             0.87689,            0.012563,             0.00342,           0.0095501,            0.005347,            0.005347,            0.005347
                 143,            0.015502,           0.0036138,           0.0021835,             0.96336,             0.95213,             0.95409,             0.88274,            0.012281,           0.0033577,           0.0098151,            0.005314,            0.005314,            0.005314
                 144,            0.015178,           0.0036636,           0.0022786,             0.96421,             0.95213,             0.95658,             0.87904,            0.012315,           0.0033178,           0.0097281,            0.005281,            0.005281,            0.005281
                 145,            0.015202,           0.0035243,           0.0022217,             0.96349,             0.95213,             0.95628,             0.88608,            0.012121,           0.0033917,           0.0097475,            0.005248,            0.005248,            0.005248
                 146,            0.014613,           0.0037295,           0.0022457,             0.96416,             0.95213,             0.95313,             0.87114,             0.01257,           0.0032215,           0.0099442,            0.005215,            0.005215,            0.005215
                 147,            0.014932,           0.0036207,           0.0022331,             0.96417,             0.95213,              0.9505,             0.87988,            0.012506,           0.0033251,            0.010137,            0.005182,            0.005182,            0.005182
                 148,            0.014529,           0.0036016,           0.0022038,             0.96454,             0.95559,             0.95291,             0.88139,            0.012342,           0.0032662,           0.0098649,            0.005149,            0.005149,            0.005149
